id,mon,s,t
0,"",0,0
1,"0,1",1,1
2,"0,2",2,2
3,"1,1",1,2
4,"0,3",3,3
5,"0,4",4,4
6,"1,2",2,4
7,"2,1",1,4
8,"0,5",5,5
9,"0,1,2,1",2,5
10,"0,6",6,6
11,"0,2,2,1",3,6
12,"0,7",7,7
13,"0,8",8,8
14,"2,2",2,8
15,"3,1",1,8
16,"0,9",9,9
17,"0,1,3,1",2,9
18,"0,10",10,10
19,"0,2,3,1",3,10
20,"1,1,3,1",2,10
21,"0,11",11,11
22,"0,3,3,1",4,11
23,"4,1",3,11
24,"0,12",12,12
25,"1,2,3,1",3,12
26,"0,13",13,13
27,"1,1,4,1",4,13
28,"0,14",14,14
29,"5,1",5,14
30,"0,15",15,15
31,"0,16",16,16
32,"1,1,5,1",6,16
33,"6,1",5,16
34,"3,2",2,16
35,"7,1",1,16
36,"0,17",17,17
37,"0,1,6,1",6,17
38,"0,1,3,2",3,17
39,"0,1,7,1",2,17
40,"0,18",18,18
41,"0,2,6,1",7,18
42,"8,1",4,18
43,"0,2,7,1",3,18
44,"1,1,7,1",2,18
45,"0,19",19,19
46,"0,1,8,1",5,19
47,"0,3,7,1",4,19
48,"0,20",20,20
49,"0,2,8,1",6,20
50,"1,1,8,1",5,20
51,"0,4,7,1",5,20
52,"1,2,7,1",3,20
53,"2,1,7,1",2,20
54,"0,21",21,21
55,"0,5,7,1",6,21
56,"9,1",4,21
57,"0,1,2,1,7,1",3,21
58,"0,22",22,22
59,"0,6,7,1",7,22
60,"1,2,8,1",6,22
61,"0,1,9,1",5,22
62,"10,1",4,22
63,"0,2,2,1,7,1",4,22
64,"11,1",3,22
65,"0,23",23,23
66,"0,7,7,1",8,23
67,"12,1",7,23
68,"0,2,9,1",6,23
69,"0,1,10,1",5,23
70,"0,24",24,24
71,"0,3,9,1",7,24
72,"13,1",4,24
73,"2,2,7,1",3,24
74,"0,25",25,25
75,"1,1,12,1",8,25
76,"0,1,13,1",5,25
77,"0,26",26,26
78,"14,1",9,26
79,"0,2,13,1",6,26
80,"1,1,13,1",5,26
81,"2,1,11,1",4,26
82,"0,27",27,27
83,"4,1,7,1",4,27
84,"0,28",28,28
85,"1,1,14,1",10,28
86,"15,1",9,28
87,"2,1,13,1",5,28
88,"0,29",29,29
89,"0,1,15,1",10,29
90,"0,1,2,1,13,1",6,29
91,"1,1,4,1,7,1",5,29
92,"0,30",30,30
93,"0,2,15,1",11,30
94,"16,1",8,30
95,"17,1",7,30
96,"0,31",31,31
97,"0,1,16,1",9,31
98,"0,1,17,1",8,31
99,"0,32",32,32
100,"0,2,16,1",10,32
101,"1,1,16,1",9,32
102,"0,2,17,1",9,32
103,"2,2,13,1",6,32
104,"7,2",2,32
105,"18,1",1,32
106,"0,33",33,33
107,"0,3,17,1",10,33
108,"19,1",8,33
109,"20,1",7,33
110,"0,1,7,2",3,33
111,"0,1,18,1",2,33
112,"0,34",34,34
113,"0,4,17,1",11,34
114,"1,2,16,1",10,34
115,"0,1,19,1",9,34
116,"0,1,20,1",8,34
117,"0,2,7,2",4,34
118,"1,1,7,2",3,34
119,"0,2,18,1",3,34
120,"1,1,18,1",2,34
121,"0,35",35,35
122,"0,5,17,1",12,35
123,"21,1",11,35
124,"0,2,19,1",10,35
125,"0,2,20,1",9,35
126,"0,3,7,2",5,35
127,"0,3,18,1",4,35
128,"0,36",36,36
129,"0,3,19,1",11,36
130,"8,2",8,36
131,"22,1",7,36
132,"23,1",6,36
133,"24,1",5,36
134,"0,4,18,1",5,36
135,"25,1",4,36
136,"1,2,18,1",3,36
137,"2,1,18,1",2,36
138,"0,37",37,37
139,"1,1,21,1",12,37
140,"0,1,8,2",9,37
141,"0,1,22,1",8,37
142,"0,1,23,1",7,37
143,"0,5,18,1",6,37
144,"26,1",4,37
145,"0,1,2,1,18,1",3,37
146,"0,38",38,38
147,"27,1",13,38
148,"0,2,8,2",10,38
149,"0,2,22,1",9,38
150,"0,2,23,1",8,38
151,"0,6,18,1",7,38
152,"28,1",6,38
153,"0,1,26,1",5,38
154,"0,2,2,1,18,1",4,38
155,"0,39",39,39
156,"0,3,23,1",9,39
157,"8,1,9,1",8,39
158,"0,7,18,1",8,39
159,"29,1",7,39
160,"0,40",40,40
161,"1,1,27,1",14,40
162,"30,1",13,40
163,"0,4,23,1",10,40
164,"0,1,8,1,9,1",9,40
165,"0,8,18,1",9,40
166,"0,1,29,1",8,40
167,"1,1,28,1",7,40
168,"2,1,24,1",6,40
169,"2,1,25,1",5,40
170,"2,2,18,1",3,40
171,"3,1,18,1",2,40
172,"0,41",41,41
173,"0,1,30,1",14,41
174,"0,5,23,1",11,41
175,"0,2,8,1,9,1",10,41
176,"0,9,18,1",10,41
177,"0,2,29,1",9,41
178,"0,1,3,1,18,1",3,41
179,"0,42",42,42
180,"0,2,30,1",15,42
181,"31,1",12,42
182,"0,10,18,1",11,42
183,"8,1,13,1",8,42
184,"32,1",7,42
185,"33,1",6,42
186,"34,1",5,42
187,"35,1",4,42
188,"0,2,3,1,18,1",4,42
189,"1,1,3,1,18,1",3,42
190,"0,43",43,43
191,"0,1,31,1",13,43
192,"0,11,18,1",12,43
193,"0,1,8,1,13,1",9,43
194,"0,1,32,1",8,43
195,"0,1,34,1",6,43
196,"0,3,3,1,18,1",5,43
197,"4,1,18,1",4,43
198,"0,44",44,44
199,"0,2,31,1",14,44
200,"1,1,31,1",13,44
201,"0,12,18,1",13,44
202,"0,2,8,1,13,1",10,44
203,"0,2,32,1",9,44
204,"1,1,33,1",7,44
205,"0,2,34,1",7,44
206,"36,1",6,44
207,"1,1,34,1",6,44
208,"1,1,35,1",5,44
209,"37,1",4,44
210,"1,2,3,1,18,1",4,44
211,"38,1",3,44
212,"0,45",45,45
213,"0,13,18,1",14,45
214,"39,1",12,45
215,"40,1",11,45
216,"9,1,13,1",8,45
217,"0,3,34,1",8,45
218,"0,1,36,1",7,45
219,"1,1,4,1,18,1",5,45
220,"0,1,37,1",5,45
221,"0,1,38,1",4,45
222,"0,46",46,46
223,"0,14,18,1",15,46
224,"1,2,31,1",14,46
225,"0,1,39,1",13,46
226,"0,1,40,1",12,46
227,"0,4,34,1",9,46
228,"0,2,36,1",8,46
229,"1,1,36,1",7,46
230,"5,1,18,1",6,46
231,"0,2,37,1",6,46
232,"0,2,38,1",5,46
233,"0,47",47,47
234,"0,15,18,1",16,47
235,"41,1",15,47
236,"0,2,39,1",14,47
237,"0,2,40,1",13,47
238,"0,5,34,1",10,47
239,"0,3,36,1",9,47
240,"0,48",48,48
241,"0,3,39,1",15,48
242,"8,1,16,1",12,48
243,"8,1,17,1",11,48
244,"42,1",9,48
245,"13,2",8,48
246,"1,1,5,1,18,1",7,48
247,"6,1,18,1",6,48
248,"43,1",4,48
249,"3,2,18,1",3,48
250,"0,49",49,49
251,"1,1,41,1",16,49
252,"0,1,8,1,16,1",13,49
253,"0,1,8,1,17,1",12,49
254,"0,1,6,1,18,1",7,49
255,"0,1,43,1",5,49
256,"0,1,3,2,18,1",4,49
257,"0,50",50,50
258,"44,1",17,50
259,"0,2,8,1,16,1",14,50
260,"0,2,8,1,17,1",13,50
261,"1,1,42,1",10,50
262,"0,2,6,1,18,1",8,50
263,"0,2,43,1",6,50
264,"8,1,18,1",5,50
265,"1,1,43,1",5,50
266,"0,51",51,51
267,"8,1,19,1",12,51
268,"8,1,20,1",11,51
269,"45,1",10,51
270,"46,1",9,51
271,"0,1,8,1,18,1",6,51
272,"0,52",52,52
273,"1,1,44,1",18,52
274,"47,1",17,52
275,"0,1,8,1,19,1",13,52
276,"0,1,8,1,20,1",12,52
277,"0,1,45,1",11,52
278,"0,2,8,1,18,1",7,52
279,"1,1,8,1,18,1",6,52
280,"2,1,43,1",5,52
281,"3,1,38,1",4,52
282,"0,53",53,53
283,"0,1,47,1",18,53
284,"0,2,8,1,19,1",14,53
285,"0,2,8,1,20,1",13,53
286,"48,1",7,53
287,"0,1,2,1,43,1",6,53
288,"9,1,18,1",5,53
289,"0,54",54,54
290,"0,2,47,1",19,54
291,"49,1",16,54
292,"50,1",15,54
293,"8,3",12,54
294,"8,1,22,1",11,54
295,"8,1,23,1",10,54
296,"51,1",9,54
297,"52,1",8,54
298,"1,2,8,1,18,1",7,54
299,"0,1,9,1,18,1",6,54
300,"10,1,18,1",5,54
301,"11,1,18,1",4,54
302,"0,55",55,55
303,"0,1,49,1",17,55
304,"0,1,50,1",16,55
305,"0,1,8,3",13,55
306,"0,1,8,1,22,1",12,55
307,"12,1,18,1",8,55
308,"1,1,48,1",8,55
309,"53,1",7,55
310,"0,2,9,1,18,1",7,55
311,"0,1,10,1,18,1",6,55
312,"0,56",56,56
313,"0,2,49,1",18,56
314,"1,1,49,1",17,56
315,"0,2,50,1",17,56
316,"0,2,8,3",14,56
317,"0,2,8,1,22,1",13,56
318,"0,1,53,1",8,56
319,"54,1",6,56
320,"3,1,43,1",5,56
321,"0,57",57,57
322,"0,3,50,1",18,57
323,"55,1",16,57
324,"56,1",15,57
325,"8,2,9,1",12,57
326,"8,1,29,1",11,57
327,"9,1,23,1",10,57
328,"1,1,12,1,18,1",9,57
329,"0,2,53,1",9,57
330,"0,1,3,1,43,1",6,57
331,"57,1",5,57
332,"0,58",58,58
333,"0,4,50,1",19,58
334,"1,2,49,1",18,58
335,"0,1,55,1",17,58
336,"0,1,56,1",16,58
337,"0,2,3,1,43,1",7,58
338,"1,1,3,1,43,1",6,58
339,"2,1,11,1,18,1",5,58
340,"0,59",59,59
341,"0,5,50,1",20,59
342,"58,1",19,59
343,"0,2,55,1",18,59
344,"0,2,56,1",17,59
345,"2,1,53,1",8,59
346,"0,60",60,60
347,"0,3,55,1",19,60
348,"8,1,31,1",16,60
349,"16,1,17,1",15,60
350,"17,2",14,60
351,"60,1",13,60
352,"59,1",13,60
353,"8,2,13,1",12,60
354,"8,1,32,1",11,60
355,"13,1,23,1",10,60
356,"13,1,24,1",9,60
357,"13,1,25,1",8,60
358,"2,1,54,1",7,60
359,"61,1",6,60
360,"0,61",61,61
361,"1,1,58,1",20,61
362,"0,1,8,1,31,1",17,61
363,"0,1,16,1,17,1",16,61
364,"0,1,17,2",15,61
365,"0,1,59,1",14,61
366,"0,62",62,62
367,"62,1",21,62
368,"0,2,8,1,31,1",18,62
369,"0,2,16,1,17,1",17,62
370,"0,2,17,2",16,62
371,"0,2,59,1",15,62
372,"1,1,59,1",14,62
373,"16,1,18,1",9,62
374,"17,1,18,1",8,62
375,"1,1,61,1",7,62
376,"0,63",63,63
377,"0,3,17,2",17,63
378,"8,1,39,1",16,63
379,"0,3,59,1",16,63
380,"8,1,40,1",15,63
381,"17,1,20,1",14,63
382,"63,1",13,63
383,"8,1,9,1,13,1",12,63
384,"9,1,32,1",11,63
385,"64,1",10,63
386,"0,1,17,1,18,1",9,63
387,"0,64",64,64
388,"1,1,62,1",22,64
389,"65,1",21,64
390,"0,4,17,2",18,64
391,"0,1,8,1,39,1",17,64
392,"0,4,59,1",17,64
393,"0,1,8,1,40,1",16,64
394,"0,1,17,1,20,1",15,64
395,"0,1,64,1",11,64
396,"66,1",10,64
397,"0,2,17,1,18,1",10,64
398,"67,1",7,64
399,"68,1",6,64
400,"18,2",2,64
401,"69,1",1,64
402,"0,65",65,65
403,"0,1,65,1",22,65
404,"0,5,17,2",19,65
405,"0,2,8,1,39,1",18,65
406,"0,5,59,1",18,65
407,"0,2,8,1,40,1",17,65
408,"0,2,64,1",12,65
409,"1,1,64,1",11,65
410,"0,1,66,1",11,65
411,"18,1,19,1",9,65
412,"18,1,20,1",8,65
413,"0,1,67,1",8,65
414,"0,1,68,1",7,65
415,"70,1",4,65
416,"0,1,18,2",3,65
417,"0,1,69,1",2,65
418,"0,66",66,66
419,"0,2,65,1",23,66
420,"71,1",20,66
421,"0,6,59,1",19,66
422,"8,2,16,1",16,66
423,"8,2,17,1",15,66
424,"16,1,23,1",14,66
425,"8,1,42,1",13,66
426,"0,3,64,1",13,66
427,"8,1,13,2",12,66
428,"0,2,66,1",12,66
429,"13,1,32,1",11,66
430,"72,1",10,66
431,"13,1,33,1",10,66
432,"0,1,18,1,20,1",9,66
433,"0,2,67,1",9,66
434,"0,2,68,1",8,66
435,"0,2,18,2",4,66
436,"1,1,18,2",3,66
437,"0,2,69,1",3,66
438,"1,1,69,1",2,66
439,"0,67",67,67
440,"0,1,71,1",21,67
441,"0,7,59,1",20,67
442,"0,1,8,2,16,1",17,67
443,"0,1,8,2,17,1",16,67
444,"0,4,64,1",14,67
445,"0,3,66,1",13,67
446,"1,2,64,1",12,67
447,"0,1,72,1",11,67
448,"0,2,18,1,20,1",10,67
449,"73,1",7,67
450,"75,1",6,67
451,"74,1",6,67
452,"76,1",5,67
453,"1,1,70,1",5,67
454,"0,3,18,2",5,67
455,"0,3,69,1",4,67
456,"0,68",68,68
457,"0,2,71,1",22,68
458,"1,1,71,1",21,68
459,"0,8,59,1",21,68
460,"0,2,8,2,16,1",18,68
461,"0,2,8,2,17,1",17,68
462,"0,5,64,1",15,68
463,"0,4,66,1",14,68
464,"0,2,72,1",12,68
465,"1,1,72,1",11,68
466,"0,1,73,1",8,68
467,"0,1,75,1",7,68
468,"0,1,74,1",7,68
