id,s,t,name,res_id
0,1,1,h_0,1
1,1,2,h_1,3
2,1,4,h_2,7
3,1,8,h_3,15
4,3,11,c_0,23
5,5,14,Ph_1,29
6,5,16,Ph_2,33
7,1,16,h_4,35
8,4,18,d_0,42
9,4,21,e_0,56
10,4,22,[f_0],62
11,3,22,c_1,64
12,7,23,Pc_0,67
13,4,24,g,72
14,9,26,P^2h_1,78
15,9,28,P^2h_2,86
16,8,30,Pd_0,94
17,7,30,i,95
18,1,32,h_5,105
19,8,33,Pe_0,108
20,7,33,j,109
21,11,35,P^2c_0,123
22,7,36,k,131
23,6,36,"(\Delta h_2^2)",132
24,5,36,n,133
25,4,36,d_1,135
26,4,37,p,144
27,13,38,P^3h_1,147
28,6,38,"(\Delta h_1h_3)",152
29,7,39,l,159
30,13,40,P^3h_2,162
31,12,42,P^2d_0,181
32,7,42,m,184
33,6,42,t,185
34,5,42,x,186
35,4,42,[e_1],187
36,6,44,"x_{38, 6}",206
37,4,44,[f_1],209
38,3,44,c_2,211
39,12,45,P^2e_0,214
40,11,45,Pj,215
41,15,47,P^3c_0,235
42,9,48,"(\Delta h_1d_0)",244
43,4,48,g_2,248
44,17,50,P^4h_1,258
45,10,51,"(\Delta h_0^2e_0)",269
46,9,51,"(\Delta h_1e_0)",270
47,17,52,P^4h_2,274
48,7,53,"M h_1",286
49,16,54,P^3d_0,291
50,15,54,P^2i,292
51,9,54,"(\Delta h_1g)",296
52,8,54,"(\Delta h_2c_1)",297
53,7,55,"x_{48, 7}",309
54,6,56,C,319
55,16,57,P^3e_0,323
56,15,57,P^2j,324
57,5,57,D_1,331
58,19,59,P^4c_0,342
59,13,60,"(\Delta h_0^2i + P\Delta h_1d_0)",351
60,13,60,"(\Delta h_0^2i)",352
61,6,60,(\Delta_1h_1^2),359
62,21,62,P^5h_1,367
63,13,63,"P(\Delta h_1e_0)",382
64,10,63,M\!P,385
65,21,64,P^5h_2,389
66,10,64,"x_{54, 10}",396
67,7,64,Q_2,398
68,6,64,D_2,399
69,1,64,h_6,401
70,4,65,D_3,415
71,20,66,"x_{46, 20}",420
72,10,66,"x_{56, 10}",430
73,7,67,Mh_4,449
74,6,67,(A+A^{\prime}),450
75,6,67,A,451
76,5,67,[H_1],452
77,20,69,"x_{49, 20}",478
78,19,69,"x_{50, 19}",479
79,10,69,Md_0,488
80,9,69,[B_4],489
81,9,70,"(\Delta x)",507
82,8,70,"(\Delta e_1+C_0+h_0^6h_5^2)",508
83,8,70,(C_0+h_0^6h_5^2),509
84,7,70,X_2,511
85,7,70,(C^{\prime}+X_2),512
86,6,70,A^{\prime\prime},514
87,23,71,P^5c_0,519
88,17,72,"x_{55, 17}",538
89,10,72,"x_{62, 10}",547
90,10,72,"x_{62, 10, 1}",548
